,d18O_measurement,d13C_measurement,Mg_Ca_measurement,Sr_Ca_measurement
P_Ca_measurement,0.0414767878499228,0.05955552925729248,0.01847356558372649,0.0025054074489473054
U_Ca_measurement,0.012468852745067371,0.041829266194625826,0.020836659353053687,0.009460972717083238
Ba_Ca_measurement,0.023888180544292103,0.0389897936699804,0.08909504078814945,0.025362051963617106
Sr_isotopes_measurement,1.2594294448109445e-06,4.9358099487806225e-06,3.783251460431902e-05,0.0
depth_sample,0.06694541076986091,0.29056970598205756,0.052573840035454,0.019985434403081537
mineralogy,0.0002828831901302009,0.0016219917619402335,0.003979434183686248,0.04782476348692048
latitude,1.1567018719811706,0.4826346325331546,0.6959242084389134,0.3475009885374186
longitude,0.17169545220337926,1.3081941023250399,0.12004796844536478,0.20491362246668668
elevation,0.43065417063009004,0.6304562266107064,0.8921658848821435,1.7073556028933818
monitoring,0.0230328724889474,0.009861339022937055,0.006826829874530105,0.000216639611374303
